norm_name_2,overall,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,norm_name
josesa,81,,,,,,,83,78,73,79,83,52.0,2150,José Sá,POR,GK,Wolves,Premier League,30,1993,22,22,1980,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,34.1,71.9,603.6,404.5,6.09,6.23,97.8,13.0,13.5,97.0,5.32,14.1,37.7,0.0,0.0,0.32,0.0,0.0,0.0,34.1,24.2,9.73,1.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.05,100.0,0.0,0.0,0.0,0.0,0.0,0.05,0.32,0.09,36.0,32.5,35.9,0.09,0.0,0.0,36.0,0.09,0.09,100.0,0.0,0.0,20.0,119.5,77.6,0.0,0.0,0.0,0.09,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.23,0.05,83.3,josesa
juanmusso,81,,,,,,,82,78,73,82,86,44.0,1750,Juan Musso,ARG,GK,Atalanta,Serie A,28,1994,16,16,1357,15.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,33.0,73.9,708.2,502.8,4.24,4.24,100.0,10.9,11.1,98.8,9.14,17.5,52.3,0.0,0.07,0.0,0.0,0.0,0.0,33.0,23.8,9.14,2.45,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.07,34.6,30.3,34.4,0.2,0.0,0.0,34.6,0.0,0.0,0.0,0.0,0.0,21.2,145.3,78.3,0.0,0.07,0.07,0.07,0.0,15.0,0.0,0.07,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,juanmusso
nickpope,81,,,,,,,80,82,75,80,83,49.0,1994,Nick Pope,ENG,GK,Newcastle Utd,Premier League,30,1992,22,22,1980,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,25.7,68.5,489.5,336.5,3.5,3.5,100.0,8.05,8.32,96.7,5.91,13.7,43.0,0.0,0.0,0.41,0.0,0.0,0.05,25.7,17.9,7.82,2.23,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.14,33.3,0.09,0.0,0.0,0.0,0.0,0.05,0.82,0.05,27.9,23.3,27.7,0.23,0.0,0.0,27.9,0.0,0.0,0.0,0.0,0.0,14.7,89.8,54.5,0.0,0.0,0.0,0.0,0.0,9.77,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.09,0.0,100.0,nickpope
albanlafont,80,,,,,,,83,77,68,77,86,47.0,1362,Alban Lafont,FRA,GK,Nantes,Ligue 1,24,1999,21,21,1889,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,32.5,68.7,680.0,519.1,3.0,3.05,98.4,10.6,10.8,97.8,8.76,18.6,47.2,0.0,0.05,0.33,0.05,0.0,0.05,32.5,22.6,9.9,2.81,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.05,0.1,0.14,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.43,0.05,35.8,31.0,35.7,0.14,0.0,0.0,35.8,0.14,0.05,33.3,0.1,66.7,22.9,124.1,68.1,0.05,0.0,0.0,0.05,0.0,14.9,0.0,0.1,0.05,0.05,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,100.0,albanlafont
ruisilva,80,,,,,,,81,76,75,82,83,31.0,2272,Rui Silva,POR,GK,Betis,La Liga,29,1994,18,18,1620,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,35.1,67.2,724.0,550.2,4.06,4.11,98.6,9.67,9.94,97.2,9.72,20.8,46.8,0.0,0.0,0.67,0.06,0.0,0.0,35.1,21.8,13.1,4.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.11,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.17,0.0,0.0,0.17,0.17,100.0,0.0,0.0,0.0,0.0,0.0,0.17,0.39,0.06,36.8,30.7,36.6,0.22,0.0,0.0,36.8,0.0,0.0,0.0,0.0,0.0,17.7,91.7,51.8,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1.83,0.17,0.0,100.0,ruisilva
jeremiasledesma,80,,,,,,,82,77,72,78,83,46.0,1405,Jeremías Ledesma,ARG,GK,Cádiz,La Liga,29,1993,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,33.4,50.9,644.6,541.8,1.76,1.81,97.4,6.48,6.62,97.8,8.76,24.8,35.3,0.0,0.05,1.1,0.05,0.0,0.0,33.4,20.3,13.0,4.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.14,0.0,0.33,0.24,0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.05,0.1,0.0,0.0,0.1,0.14,66.7,0.05,0.05,0.0,0.05,0.1,0.19,0.62,0.05,36.3,30.7,36.2,0.1,0.0,0.0,36.3,0.1,0.1,100.0,0.0,0.0,18.0,117.5,81.7,0.0,0.05,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.05,0.14,0.0,0.0,0.05,0.0,0.05,0.0,1.0,0.19,0.0,100.0,jeremiasledesma
markflekken,80,,,,,,,80,76,81,79,82,31.0,861,Mark Flekken,NED,GK,Freiburg,Bundesliga,29,1993,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,41.3,73.0,987.1,735.9,2.9,2.95,98.3,14.2,14.4,98.6,12.9,23.6,54.9,0.0,0.1,1.75,0.15,0.0,0.0,41.3,32.0,9.0,2.55,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,30.1,0.2,0.05,0.25,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.15,43.5,34.8,43.0,0.7,0.0,0.0,43.5,0.1,0.1,100.0,0.0,0.0,26.5,159.4,96.3,0.0,0.0,0.0,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.2,0.0,100.0,markflekken
andreaconsigli,80,,,,,,,80,81,71,78,81,42.0,533,Andrea Consigli,ITA,GK,Sassuolo,Serie A,36,1987,19,19,1710,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,45.2,78.7,1025.6,644.6,5.63,5.63,100.0,14.4,14.6,98.9,15.4,24.8,62.1,0.0,0.0,0.58,0.0,0.0,0.05,45.2,32.7,12.4,3.37,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.05,0.0,0.32,0.26,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.47,0.0,47.1,36.6,46.5,0.47,0.05,0.0,47.1,0.0,0.0,0.0,0.0,0.0,26.8,134.0,84.4,0.0,0.0,0.0,0.05,0.0,24.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.32,0.0,100.0,andreaconsigli
berndleno,80,,,,,,,82,78,74,79,82,55.0,1418,Bernd Leno,GER,GK,Fulham,Premier League,30,1992,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,37.0,78.6,725.6,456.0,7.19,7.19,100.0,15.2,15.3,99.4,6.71,14.4,46.5,0.0,0.05,0.38,0.0,0.0,0.0,37.0,26.6,10.3,3.29,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,29.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.48,0.0,39.7,31.0,39.4,0.29,0.0,0.0,39.7,0.0,0.0,0.0,0.0,0.0,21.7,108.5,62.6,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.38,0.0,100.0,berndleno
luismaximiano,79,,,,,,,78,76,68,76,82,55.0,1604,Luís Maximiano,POR,GK,Lazio,Serie A,24,1999,1,1,5,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,75.0,980.0,900.0,10.0,10.0,100.0,0.0,0.0,0.0,20.0,30.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,luismaximiano
deanhenderson,79,,,,,,,80,78,77,75,82,55.0,1092,Dean Henderson,ENG,GK,Nott'ham Forest,Premier League,25,1997,18,18,1620,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,37.3,63.3,696.8,491.0,4.44,4.44,100.0,10.3,10.4,98.9,8.83,22.2,39.8,0.0,0.0,0.61,0.06,0.0,0.0,37.3,25.3,11.9,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.11,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.06,39.7,33.3,39.5,0.28,0.0,0.0,39.7,0.0,0.0,0.0,0.0,0.0,22.1,124.6,69.2,0.0,0.0,0.0,0.06,0.0,17.7,0.0,0.11,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.61,0.06,0.0,100.0,deanhenderson
jonasomlin,79,,,,,,,80,75,73,76,82,52.0,1840,Jonas Omlin,SUI,GK,Montpellier,Ligue 1,29,1994,14,14,1166,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,31.9,71.1,618.6,458.3,4.08,4.15,98.1,11.9,12.2,98.1,6.62,15.5,42.6,0.0,0.0,0.31,0.0,0.0,0.0,31.9,21.8,10.2,3.62,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.62,0.08,34.6,28.1,34.5,0.15,0.0,0.0,34.6,0.08,0.0,0.0,0.08,100.0,22.9,130.2,78.8,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.08,0.08,0.0,0.08,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.23,0.0,100.0,jonasomlin
mattiaperin,79,,,,,,,79,79,71,79,81,57.0,1952,Mattia Perin,ITA,GK,Juventus,Serie A,30,1992,7,6,588,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,36.8,77.4,679.7,438.2,6.77,6.92,97.8,15.8,15.8,100.0,5.85,14.0,41.8,0.0,0.0,0.92,0.0,0.0,0.15,36.8,28.2,8.62,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,34.5,37.4,0.46,0.0,0.0,37.8,0.0,0.0,0.0,0.0,0.0,23.7,122.0,88.6,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,mattiaperin
matzsels,79,,,,,,,77,78,75,80,80,36.0,2247,Matz Sels,BEL,GK,Strasbourg,Ligue 1,30,1992,22,22,1980,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,27.0,68.8,523.0,396.3,3.77,3.77,100.0,8.23,8.41,97.8,6.45,14.6,44.2,0.0,0.05,0.45,0.0,0.0,0.0,27.0,19.0,7.86,2.64,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,18.5,0.09,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.09,0.0,0.0,0.09,0.09,100.0,0.0,0.0,0.0,0.0,0.09,0.18,0.68,0.0,30.0,25.9,29.8,0.32,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,19.0,100.5,64.2,0.0,0.0,0.0,0.05,0.0,12.5,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.91,0.27,0.0,100.0,matzsels
stevemandanda,79,,,,,,,77,79,74,77,81,49.0,1529,Steve Mandanda,FRA,GK,Rennes,Ligue 1,37,1985,20,20,1755,19.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,33.4,72.2,693.1,489.4,4.05,4.15,97.5,11.0,11.2,98.2,8.97,17.8,50.4,0.05,0.05,0.36,0.0,0.0,0.0,33.4,24.5,8.82,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0.1,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.1,34.9,25.5,34.5,0.46,0.0,0.0,34.9,0.05,0.05,100.0,0.0,0.0,24.6,107.7,65.8,0.0,0.0,0.0,0.1,0.0,17.5,0.0,0.05,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.0,1.64,0.15,0.0,100.0,stevemandanda
marcosilvestri,79,,,,,,,81,77,60,80,83,59.0,2274,Marco Silvestri,ITA,GK,Udinese,Serie A,31,1991,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,29.3,76.9,615.8,458.4,4.19,4.19,100.0,11.4,11.5,99.2,6.71,13.3,50.4,0.0,0.0,0.33,0.0,0.0,0.0,29.3,19.4,9.86,2.05,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.05,0.0,0.29,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.0,0.0,0.1,0.1,100.0,0.0,0.0,0.0,0.0,0.05,0.14,0.24,0.05,31.6,27.9,31.6,0.0,0.0,0.0,31.6,0.0,0.0,0.0,0.0,0.0,15.5,81.6,59.6,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,1.05,0.14,0.0,100.0,marcosilvestri
manuelriemann,79,,,,,,,78,74,85,78,82,52.0,2083,Manuel Riemann,GER,GK,Bochum,Bundesliga,34,1988,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,52.4,60.3,1249.3,1089.2,2.65,2.7,98.1,8.65,8.9,97.2,20.3,40.3,50.4,0.0,0.1,3.95,0.25,0.05,0.65,52.4,38.5,13.4,5.6,0.0,0.85,0.05,0.0,0.0,0.0,0.0,0.0,31.6,0.4,0.15,0.65,0.45,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.0,0.0,0.1,0.1,100.0,0.0,0.05,0.0,0.05,0.15,0.25,0.75,0.2,56.1,35.8,51.7,4.6,0.0,0.0,56.1,0.0,0.0,0.0,0.0,0.0,32.3,173.7,113.8,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.05,0.0,0.0,0.05,0.1,0.0,0.05,0.05,0.0,0.05,0.0,3.0,0.3,0.1,75.0,manuelriemann
agustinmarchesin,79,,,,,,,80,77,76,79,80,54.0,1545,Agustín Marchesín,ARG,GK,Celta Vigo,La Liga,34,1988,19,19,1710,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,33.4,70.7,678.8,484.3,4.26,4.26,100.0,10.8,11.2,97.2,8.47,17.7,47.8,0.0,0.0,0.32,0.0,0.0,0.05,33.4,23.5,9.68,2.79,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.21,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.37,0.0,35.6,28.9,35.4,0.32,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,20.6,91.0,59.1,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.11,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.16,0.0,100.0,agustinmarchesin
alexandernubel,78,,,,,,,75,71,70,76,84,48.0,1806,Alexander Nübel,GER,GK,Monaco,Ligue 1,26,1996,23,23,2070,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,30.1,74.6,682.2,507.9,3.13,3.17,98.6,9.3,9.52,97.7,9.91,17.3,57.3,0.0,0.04,0.09,0.0,0.0,0.0,30.1,20.6,9.48,2.35,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0.0,0.0,0.35,0.26,0.09,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.04,0.22,0.09,32.1,26.6,31.9,0.22,0.0,0.0,32.1,0.0,0.0,0.0,0.0,0.0,22.2,112.9,66.7,0.0,0.0,0.0,0.04,0.0,12.6,0.0,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.17,0.04,80.0,alexandernubel
giorgimamardashvili,78,,,,,,,79,78,74,79,80,48.0,1526,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22,2000,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.2,76.0,588.3,414.6,5.43,5.43,100.0,11.4,11.5,99.2,5.95,13.0,46.0,0.0,0.0,0.19,0.0,0.0,0.05,30.2,21.8,8.29,2.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.1,0.05,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.38,0.05,33.2,28.2,32.4,0.9,0.0,0.0,33.2,0.0,0.0,0.0,0.0,0.0,17.8,82.1,48.3,0.0,0.0,0.0,0.0,0.05,14.8,0.0,0.05,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.0,1.71,0.14,0.05,75.0,giorgimamardashvili
guglielmovicario,78,,,,,,,79,78,74,78,80,28.0,2540,Guglielmo Vicario,ITA,GK,Empoli,Serie A,26,1996,22,22,1980,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,41.9,74.3,835.6,579.9,5.45,5.5,99.2,16.1,16.5,97.8,9.45,19.8,47.8,0.0,0.0,0.73,0.0,0.0,0.0,41.9,33.1,8.68,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,0.05,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.45,0.09,44.6,36.5,44.5,0.05,0.0,0.0,44.6,0.0,0.0,0.0,0.0,0.0,27.5,136.9,89.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.14,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.27,0.09,75.0,guglielmovicario
pierluigigollini,78,,,,,,,78,79,73,74,80,47.0,966,Pierluigi Gollini,ITA,GK,Fiorentina,Serie A,27,1995,3,3,270,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,42.0,76.2,874.0,591.3,6.0,6.0,100.0,14.0,14.0,100.0,12.0,22.0,54.5,0.0,0.0,0.33,0.0,0.0,0.0,42.0,37.0,5.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.33,0.33,100.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.0,43.7,38.7,43.7,0.0,0.0,0.0,43.7,0.0,0.0,0.0,0.0,0.0,34.7,141.0,72.3,0.0,0.0,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,pierluigigollini
alexmeret,78,,,,,,,79,73,70,77,81,44.0,1645,Alex Meret,ITA,GK,Napoli,Serie A,25,1997,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,28.4,86.6,570.0,346.0,5.76,5.76,100.0,12.6,12.8,98.9,6.05,9.71,62.3,0.0,0.0,0.05,0.0,0.0,0.0,28.4,20.9,7.52,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.05,29.9,26.0,29.8,0.05,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,16.2,68.7,37.2,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.1,0.0,100.0,alexmeret
stoledimitrievski,78,,,,,,,77,82,75,78,79,36.0,690,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,1993,19,19,1710,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,30.7,61.5,543.3,397.6,3.47,3.47,100.0,8.95,9.11,98.3,6.42,17.8,36.0,0.0,0.05,0.58,0.0,0.0,0.0,30.7,19.7,10.8,2.58,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.21,0.0,0.16,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.47,0.11,32.7,27.2,32.5,0.21,0.0,0.0,32.7,0.0,0.0,0.0,0.0,0.0,16.9,104.7,63.8,0.0,0.0,0.0,0.0,0.0,11.4,0.05,0.16,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.26,0.0,100.0,stoledimitrievski
illanmeslier,77,,,,,,,79,76,73,72,81,38.0,1650,Illan Meslier,FRA,GK,Leeds United,Premier League,22,2000,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,30.3,60.1,456.2,297.3,4.38,4.52,96.8,9.1,9.33,97.4,4.67,16.3,28.7,0.0,0.0,0.33,0.05,0.0,0.0,30.3,20.0,10.2,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.05,0.05,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.14,33.3,0.1,0.0,0.0,0.0,0.05,0.1,0.71,0.0,32.8,26.7,32.6,0.24,0.05,0.0,32.8,0.0,0.0,0.0,0.0,0.0,16.3,100.4,56.4,0.0,0.0,0.0,0.05,0.0,11.8,0.0,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.29,0.05,85.7,illanmeslier
